Epoch,Step,Train Loss,Train Recon,Train KL,Train β-KL,Train SupCon,Val Loss,Val Recon,Val KL,Val β-KL,Val SupCon
26,346000,4.3546,0.8486,27.679999999999996,0.692,3.7521,4.2623,0.7576,27.724,0.6931,3.7488
26,348000,4.3527,0.848,27.692,0.6923,3.7497,4.2621,0.7548,27.7976,0.6949,3.7498
27,350000,4.3556,0.8476,27.7,0.6925,3.7541,4.2593,0.7576,27.5701,0.6893,3.7499
27,352000,4.3541,0.8479,27.7,0.6925,3.7516,4.2591,0.7547,27.6897,0.6922,3.7496
27,354000,4.3531,0.8462,27.703999999999997,0.6926,3.7523,4.258,0.7509,27.8037,0.6951,3.7494
27,356000,4.3528,0.8455,27.715999999999998,0.6929,3.7526,4.2627,0.7582,27.6911,0.6923,3.7496
27,358000,4.3531,0.8454,27.724,0.6931,3.7528,4.2592,0.7518,27.8158,0.6954,3.7493
27,360000,4.3517,0.8448,27.732,0.6933,3.7514,4.258,0.7483,27.9102,0.6978,3.7492
28,362000,4.3536,0.8448,27.732,0.6933,3.754,4.2581,0.7544,27.6601,0.6915,3.7496
28,364000,4.3507,0.8434,27.744,0.6936,3.7516,4.2647,0.7625,27.6215,0.6905,3.7488
28,366000,4.3515,0.8433,27.744,0.6936,3.7528,4.2601,0.7539,27.7702,0.6943,3.7493
28,368000,4.3484,0.842,27.755999999999997,0.6939,3.75,4.256,0.7495,27.7942,0.6949,3.7488
28,370000,4.3511,0.8433,27.759999999999998,0.694,3.7517,4.2573,0.7542,27.654,0.6913,3.749
28,372000,4.3498,0.8418,27.764,0.6941,3.7519,4.2572,0.75,27.819,0.6955,3.7491
28,374000,4.3504,0.8418,27.764,0.6941,3.7526,4.2565,0.7505,27.7668,0.6942,3.7491
29,376000,4.3485,0.841,27.776,0.6944,3.7507,4.2566,0.7495,27.7957,0.6949,3.7497
29,378000,4.3483,0.8405,27.791999999999998,0.6948,3.7506,4.2598,0.754,27.7706,0.6943,3.7487
29,380000,4.3491,0.8403,27.787999999999997,0.6947,3.752,4.2553,0.7468,27.8533,0.6963,3.7496
29,382000,4.3483,0.8396,27.784,0.6946,3.7521,4.2564,0.7487,27.8226,0.6956,3.7495
29,384000,4.3497,0.8392,27.787999999999997,0.6947,3.7544,4.2569,0.7495,27.8167,0.6954,3.7493
29,386000,4.3462,0.8374,27.799999999999997,0.695,3.7517,4.2571,0.7481,27.8944,0.6974,3.7488
29,388000,4.3469,0.8381,27.804000000000002,0.6951,3.7516,4.2548,0.7467,27.8537,0.6963,3.749
30,390000,4.3467,0.8385,27.804000000000002,0.6951,3.7507,4.2547,0.7406,28.0784,0.702,3.7495
30,392000,4.3491,0.8386,27.808,0.6952,3.7538,4.2545,0.7456,27.8813,0.697,3.7491
30,394000,4.3437,0.8368,27.828,0.6957,3.7484,4.2528,0.7502,27.6192,0.6905,3.7496
30,396000,4.3474,0.8351,27.823999999999998,0.6956,3.7556,4.2521,0.7435,27.875,0.6969,3.749
30,398000,4.3447,0.8361,27.848,0.6962,3.7498,4.2528,0.7416,27.9713,0.6993,3.7493
30,400000,4.3466,0.835,27.848,0.6962,3.7539,4.2541,0.744,27.9255,0.6981,3.7493
31,402000,4.3429,0.8351,27.844,0.6961,3.7488,4.2527,0.7406,28.0037,0.7001,3.7493
31,404000,4.3439,0.8346,27.863999999999997,0.6966,3.7502,4.2571,0.746,27.9766,0.6994,3.7489
31,406000,4.3438,0.8337,27.848,0.6962,3.7519,4.2519,0.7436,27.8682,0.6967,3.7488
31,408000,4.343,0.8332,27.863999999999997,0.6966,3.7509,4.2531,0.7441,27.8739,0.6968,3.7495
31,410000,4.3455,0.8332,27.871999999999996,0.6968,3.7539,4.2504,0.7414,27.9061,0.6977,3.7484
31,412000,4.3445,0.8337,27.871999999999996,0.6968,3.752,4.2511,0.7437,27.8221,0.6956,3.7492
31,414000,4.345,0.8317,27.868,0.6967,3.7555,4.252,0.7474,27.7134,0.6928,3.7489
32,416000,4.3436,0.8329,27.875999999999998,0.6969,3.7517,4.2513,0.744,27.844,0.6961,3.7483
32,418000,4.3446,0.8317,27.896,0.6974,3.7541,4.2505,0.7465,27.6895,0.6922,3.7491
32,420000,4.3417,0.831,27.896,0.6974,3.7512,4.2498,0.7414,27.8753,0.6969,3.7487
32,422000,4.3422,0.8309,27.896,0.6974,3.7518,4.249,0.7378,27.9782,0.6995,3.749
32,424000,4.3386,0.8294,27.9,0.6975,3.7488,4.2511,0.7412,27.9514,0.6988,3.7482
32,426000,4.3413,0.83,27.912,0.6978,3.7513,4.2503,0.7349,28.1388,0.7035,3.7492
32,428000,4.34,0.8298,27.919999999999998,0.698,3.7495,4.2502,0.7376,28.033,0.7008,3.7489
33,430000,4.339,0.8292,27.915999999999997,0.6979,3.7492,4.2518,0.7435,27.8867,0.6972,3.7481
33,432000,4.3412,0.829,27.936,0.6984,3.7517,4.249,0.7386,27.9556,0.6989,3.7487
33,434000,4.3405,0.8279,27.928,0.6982,3.7525,4.2488,0.7363,28.0432,0.7011,3.7485
33,436000,4.3391,0.8272,27.939999999999998,0.6985,3.7511,4.2469,0.7365,27.9686,0.6992,3.7482
33,438000,4.3415,0.829,27.944,0.6986,3.7519,4.2486,0.7426,27.7697,0.6942,3.749
33,440000,4.3395,0.8272,27.928,0.6982,3.7522,4.248,0.7376,27.9492,0.6987,3.7488
33,442000,4.338,0.8262,27.947999999999997,0.6987,3.7508,4.2479,0.7363,28.0027,0.7001,3.7487
34,444000,4.3406,0.8274,27.964000000000002,0.6991,3.7521,4.2526,0.7386,28.0869,0.7022,3.7491
34,446000,4.3444,0.8305,27.976,0.6994,3.7527,4.2502,0.7412,27.8944,0.6974,3.7488
34,448000,4.3396,0.8297,27.98,0.6995,3.7473,4.2504,0.7385,28.03,0.7007,3.7481
34,450000,4.3404,0.828,27.968,0.6992,3.751,4.2486,0.7364,28.0315,0.7008,3.7485
34,452000,4.3389,0.8267,27.968,0.6992,3.7507,4.2524,0.7427,27.9541,0.6989,3.7478
34,454000,4.3419,0.8268,27.976,0.6994,3.7543,4.248,0.7375,27.9616,0.699,3.7486
